concat,member_casual,rideable_type,day_of_week,start/end,station_name,lat,lng,count
2020-8,casual,docked_bike,Friday,start_station,2112 W Peterson Ave,41.991178,-87.683593,4
2020-8,casual,docked_bike,Friday,start_station,63rd St Beach,41.78091096,-87.57632375,53
2020-8,casual,docked_bike,Friday,start_station,900 W Harrison St,41.874754,-87.649807,38
2020-8,casual,docked_bike,Friday,start_station,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,53
2020-8,casual,docked_bike,Friday,start_station,Aberdeen St & Monroe St,41.880419,-87.655519,75
2020-8,casual,docked_bike,Friday,start_station,Aberdeen St & Randolph St,41.884114,-87.654264,47
2020-8,casual,docked_bike,Friday,start_station,Ada St & Washington Blvd,41.88283,-87.661206,42
2020-8,casual,docked_bike,Friday,start_station,Adler Planetarium,41.86605967,-87.60739533,242
2020-8,casual,docked_bike,Friday,start_station,Albany Ave & 26th St,41.84447501,-87.70201301,6
2020-8,casual,docked_bike,Friday,start_station,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,24
2020-8,casual,docked_bike,Friday,start_station,Albany Ave & Montrose Ave,41.961041,-87.705866,12
2020-8,casual,docked_bike,Friday,start_station,Archer (Damen) Ave & 37th St,41.82671317,-87.68323983,16
2020-8,casual,docked_bike,Friday,start_station,Artesian Ave & Hubbard St,41.88949182,-87.68821936,3
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & 13th St,41.86532167,-87.66659667,6
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & 50th St,41.803023,-87.664699,3
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & 63rd St,41.779374,-87.664843,1
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & 78th St,41.752254,-87.66382867,4
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Archer Ave,41.83903467,-87.66553017,12
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Augusta Blvd,41.899643,-87.6677,36
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,28
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Blackhawk St,41.907066,-87.667252,68
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Chicago Ave,41.895966,-87.667747,41
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Division St,41.90345,-87.667747,138
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Grace St,41.950687,-87.6687,51
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Grand Ave,41.891072,-87.666611,35
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Lake St,41.88592,-87.66717,24
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & McDowell Ave,41.80887,-87.66454,5
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Wellington Ave,41.936083,-87.669807,25
2020-8,casual,docked_bike,Friday,start_station,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,58
2020-8,casual,docked_bike,Friday,start_station,Austin Blvd & Chicago Ave,41.894887,-87.774704,4
2020-8,casual,docked_bike,Friday,start_station,Austin Blvd & Lake St,41.887919,-87.774446,7
2020-8,casual,docked_bike,Friday,start_station,Austin Blvd & Madison St,41.88026817,-87.77448317,4
2020-8,casual,docked_bike,Friday,start_station,Avers Ave & Belmont Ave,41.939408,-87.723574,19
2020-8,casual,docked_bike,Friday,start_station,Avondale Ave & Irving Park Rd,41.953393,-87.732002,7
2020-8,casual,docked_bike,Friday,start_station,Bennett Ave & 79th St,41.751785,-87.578496,4
2020-8,casual,docked_bike,Friday,start_station,Benson Ave & Church St,42.048064,-87.68322183,47
2020-8,casual,docked_bike,Friday,start_station,Bernard St & Elston Ave,41.94990917,-87.71395267,3
2020-8,casual,docked_bike,Friday,start_station,Bissell St & Armitage Ave,41.91844,-87.65222,144
2020-8,casual,docked_bike,Friday,start_station,Blackstone Ave & Hyde Park Blvd,41.8025375,-87.5903615,31
2020-8,casual,docked_bike,Friday,start_station,Blue Island Ave & 18th St,41.857556,-87.661535,29
2020-8,casual,docked_bike,Friday,start_station,Bosworth Ave & Howard St,42.019573,-87.66954417,6
2020-8,casual,docked_bike,Friday,start_station,Broadway & Argyle St,41.973815,-87.65966,72
2020-8,casual,docked_bike,Friday,start_station,Broadway & Barry Ave,41.93758232,-87.64409781,243
2020-8,casual,docked_bike,Friday,start_station,Broadway & Belmont Ave,41.940106,-87.645451,137
2020-8,casual,docked_bike,Friday,start_station,Broadway & Berwyn Ave,41.97840717,-87.6597815,63
2020-8,casual,docked_bike,Friday,start_station,Broadway & Cornelia Ave,41.945529,-87.646439,163
2020-8,casual,docked_bike,Friday,start_station,Broadway & Granville Ave,41.99477969,-87.66028453,111
2020-8,casual,docked_bike,Friday,start_station,Broadway & Ridge Ave,41.98404461,-87.66027383,56
2020-8,casual,docked_bike,Friday,start_station,Broadway & Sheridan Rd,41.952833,-87.649993,78
2020-8,casual,docked_bike,Friday,start_station,Broadway & Thorndale Ave,41.98974251,-87.66014062,59
2020-8,casual,docked_bike,Friday,start_station,Broadway & Waveland Ave,41.949074,-87.648636,126
2020-8,casual,docked_bike,Friday,start_station,Broadway & Wilson Ave,41.96527217,-87.6582265,50
2020-8,casual,docked_bike,Friday,start_station,Buckingham Fountain,41.876511,-87.620548,233
2020-8,casual,docked_bike,Friday,start_station,Budlong Woods Library,41.98366471,-87.69642256,10
2020-8,casual,docked_bike,Friday,start_station,Burling St (Halsted) & Diversey Pkwy (Temp),41.93314,-87.64776,77
2020-8,casual,docked_bike,Friday,start_station,Burnham Harbor,41.856268,-87.613348,112
2020-8,casual,docked_bike,Friday,start_station,California Ave & 21st St,41.853804,-87.695742,8
2020-8,casual,docked_bike,Friday,start_station,California Ave & 23rd Pl,41.84914167,-87.69519733,5
2020-8,casual,docked_bike,Friday,start_station,California Ave & 26th St,41.84404003,-87.69529592,1
2020-8,casual,docked_bike,Friday,start_station,California Ave & Altgeld St,41.92669,-87.697668,36
2020-8,casual,docked_bike,Friday,start_station,California Ave & Byron St,41.95216219,-87.69805111,10
2020-8,casual,docked_bike,Friday,start_station,California Ave & Cortez St,41.900363,-87.696704,17
2020-8,casual,docked_bike,Friday,start_station,California Ave & Division St,41.903029,-87.697474,29
