concat,member_casual,rideable_type,day_of_week,start/end,station_name,lat,lng,count
2021-6,casual,classic_bike,Friday,start_station,2112 W Peterson Ave,41.991178,-87.683593,4
2021-6,casual,classic_bike,Friday,start_station,63rd St Beach,41.78091096,-87.57632375,31
2021-6,casual,classic_bike,Friday,start_station,900 W Harrison St,41.874754,-87.649807,28
2021-6,casual,classic_bike,Friday,start_station,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,58
2021-6,casual,classic_bike,Friday,start_station,Aberdeen St & Monroe St,41.880419,-87.655519,58
2021-6,casual,classic_bike,Friday,start_station,Aberdeen St & Randolph St,41.884114,-87.654264,78
2021-6,casual,classic_bike,Friday,start_station,Ada St & 113th St,41.68756162,-87.65547574,2
2021-6,casual,classic_bike,Friday,start_station,Ada St & Washington Blvd,41.88283,-87.661206,38
2021-6,casual,classic_bike,Friday,start_station,Adler Planetarium,41.86605967,-87.60739533,91
2021-6,casual,classic_bike,Friday,start_station,Albany Ave & 26th St,41.84447501,-87.70201301,2
2021-6,casual,classic_bike,Friday,start_station,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,28
2021-6,casual,classic_bike,Friday,start_station,Albany Ave & Montrose Ave,41.961041,-87.705866,4
2021-6,casual,classic_bike,Friday,start_station,Altgeld Gardens,41.65666553,-87.59880066,3
2021-6,casual,classic_bike,Friday,start_station,Artesian Ave & Hubbard St,41.88949182,-87.68821936,10
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & 13th St,41.86532167,-87.66659667,10
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & 50th St,41.803023,-87.664699,1
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & 74th St,41.75923602,-87.66347408,7
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & 78th St,41.752254,-87.66382867,1
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Archer Ave,41.83903467,-87.66553017,1
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Augusta Blvd,41.899643,-87.6677,29
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,18
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Blackhawk St,41.907066,-87.667252,47
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Chicago Ave,41.895966,-87.667747,49
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Division St,41.90345,-87.667747,118
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Grace St,41.950687,-87.6687,37
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Grand Ave,41.891072,-87.666611,27
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Lake St,41.88592,-87.66717,19
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Wellington Ave,41.936083,-87.669807,21
2021-6,casual,classic_bike,Friday,start_station,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,40
2021-6,casual,classic_bike,Friday,start_station,Austin Blvd & Chicago Ave,41.894887,-87.774704,5
2021-6,casual,classic_bike,Friday,start_station,Austin Blvd & Lake St,41.887919,-87.774446,2
2021-6,casual,classic_bike,Friday,start_station,Austin Blvd & Madison St,41.88026817,-87.77448317,2
2021-6,casual,classic_bike,Friday,start_station,Avers Ave & Belmont Ave,41.939408,-87.723574,10
2021-6,casual,classic_bike,Friday,start_station,Avondale Ave & Irving Park Rd,41.953393,-87.732002,4
2021-6,casual,classic_bike,Friday,start_station,Benson Ave & Church St,42.048064,-87.68322183,19
2021-6,casual,classic_bike,Friday,start_station,Bernard St & Elston Ave,41.94990917,-87.71395267,3
2021-6,casual,classic_bike,Friday,start_station,Bissell St & Armitage Ave,41.91844,-87.65222,101
2021-6,casual,classic_bike,Friday,start_station,Blackstone Ave & Hyde Park Blvd,41.8025375,-87.5903615,40
2021-6,casual,classic_bike,Friday,start_station,Blue Island Ave & 18th St,41.857556,-87.661535,15
2021-6,casual,classic_bike,Friday,start_station,Bosworth Ave & Howard St,42.019573,-87.66954417,1
2021-6,casual,classic_bike,Friday,start_station,Broadway & Argyle St,41.973815,-87.65966,40
2021-6,casual,classic_bike,Friday,start_station,Broadway & Barry Ave,41.93758232,-87.64409781,155
2021-6,casual,classic_bike,Friday,start_station,Broadway & Belmont Ave,41.940106,-87.645451,98
2021-6,casual,classic_bike,Friday,start_station,Broadway & Berwyn Ave,41.97840717,-87.6597815,25
2021-6,casual,classic_bike,Friday,start_station,Broadway & Cornelia Ave,41.945529,-87.646439,114
2021-6,casual,classic_bike,Friday,start_station,Broadway & Granville Ave,41.99477969,-87.66028453,30
2021-6,casual,classic_bike,Friday,start_station,Broadway & Ridge Ave,41.98404461,-87.66027383,19
2021-6,casual,classic_bike,Friday,start_station,Broadway & Sheridan Rd,41.952833,-87.649993,72
2021-6,casual,classic_bike,Friday,start_station,Broadway & Thorndale Ave,41.98974251,-87.66014062,21
