concat,member_casual,rideable_type,day_of_week,start/end,station_name,lat,lng,count
2021-7,casual,classic_bike,Friday,start_station,2112 W Peterson Ave,41.991178,-87.683593,3
2021-7,casual,classic_bike,Friday,start_station,63rd St Beach,41.78091096,-87.57632375,8
2021-7,casual,classic_bike,Friday,start_station,900 W Harrison St,41.874754,-87.649807,27
2021-7,casual,classic_bike,Friday,start_station,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,55
2021-7,casual,classic_bike,Friday,start_station,Aberdeen St & Monroe St,41.880419,-87.655519,64
2021-7,casual,classic_bike,Friday,start_station,Aberdeen St & Randolph St,41.884114,-87.654264,82
2021-7,casual,classic_bike,Friday,start_station,Ada St & Washington Blvd,41.88283,-87.661206,71
2021-7,casual,classic_bike,Friday,start_station,Adler Planetarium,41.86605967,-87.60739533,187
2021-7,casual,classic_bike,Friday,start_station,Albany Ave & 26th St,41.84447501,-87.70201301,5
2021-7,casual,classic_bike,Friday,start_station,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,37
2021-7,casual,classic_bike,Friday,start_station,Albany Ave & Montrose Ave,41.961041,-87.705866,8
2021-7,casual,classic_bike,Friday,start_station,Altgeld Gardens,41.65666553,-87.59880066,2
2021-7,casual,classic_bike,Friday,start_station,Archer (Damen) Ave & 37th St,41.82671317,-87.68323983,2
2021-7,casual,classic_bike,Friday,start_station,Artesian Ave & Hubbard St,41.88949182,-87.68821936,13
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & 13th St,41.86532167,-87.66659667,5
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & 50th St,41.803023,-87.664699,3
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & 63rd St,41.779374,-87.664843,2
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & 66th St,41.7740565,-87.66371567,1
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & 74th St,41.75923602,-87.66347408,1
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & 78th St,41.752254,-87.66382867,2
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & Archer Ave,41.83903467,-87.66553017,8
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & Augusta Blvd,41.899643,-87.6677,47
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,15
2021-7,casual,classic_bike,Friday,start_station,Ashland Ave & Blackhawk St,41.907066,-87.667252,101
