concat,member_casual,rideable_type,day_of_week,start/end,station_name,lat,lng,count
2021-2,casual,classic_bike,Friday,start_station,900 W Harrison St,41.874754,-87.649807,1
2021-2,casual,classic_bike,Friday,start_station,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,1
2021-2,casual,classic_bike,Friday,start_station,Aberdeen St & Monroe St,41.880419,-87.655519,4
2021-2,casual,classic_bike,Friday,start_station,Aberdeen St & Randolph St,41.884114,-87.654264,2
2021-2,casual,classic_bike,Friday,start_station,Ada St & Washington Blvd,41.88283,-87.661206,1
2021-2,casual,classic_bike,Friday,start_station,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,1
2021-2,casual,classic_bike,Friday,start_station,Ashland Ave & Blackhawk St,41.907066,-87.667252,1
2021-2,casual,classic_bike,Friday,start_station,Ashland Ave & Chicago Ave,41.895966,-87.667747,1
2021-2,casual,classic_bike,Friday,start_station,Ashland Ave & Division St,41.90345,-87.667747,5
2021-2,casual,classic_bike,Friday,start_station,Ashland Ave & Grand Ave,41.891072,-87.666611,3
2021-2,casual,classic_bike,Friday,start_station,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,2
2021-2,casual,classic_bike,Friday,start_station,Bissell St & Armitage Ave,41.91844,-87.65222,7
2021-2,casual,classic_bike,Friday,start_station,Blackstone Ave & Hyde Park Blvd,41.8025375,-87.5903615,4
2021-2,casual,classic_bike,Friday,start_station,Broadway & Argyle St,41.973815,-87.65966,3
2021-2,casual,classic_bike,Friday,start_station,Broadway & Barry Ave,41.93758232,-87.64409781,5
2021-2,casual,classic_bike,Friday,start_station,Broadway & Belmont Ave,41.940106,-87.645451,6
2021-2,casual,classic_bike,Friday,start_station,Broadway & Cornelia Ave,41.945529,-87.646439,1
2021-2,casual,classic_bike,Friday,start_station,Broadway & Granville Ave,41.99477969,-87.66028453,2
2021-2,casual,classic_bike,Friday,start_station,Broadway & Sheridan Rd,41.952833,-87.649993,2
2021-2,casual,classic_bike,Friday,start_station,Broadway & Thorndale Ave,41.98974251,-87.66014062,1
2021-2,casual,classic_bike,Friday,start_station,Broadway & Waveland Ave,41.949074,-87.648636,7
2021-2,casual,classic_bike,Friday,start_station,Burnham Harbor,41.856268,-87.613348,2
2021-2,casual,classic_bike,Friday,start_station,California Ave & Byron St,41.95216219,-87.69805111,1
2021-2,casual,classic_bike,Friday,start_station,California Ave & Cortez St,41.900363,-87.696704,1
2021-2,casual,classic_bike,Friday,start_station,California Ave & Division St,41.903029,-87.697474,2
2021-2,casual,classic_bike,Friday,start_station,California Ave & Fletcher St,41.938452,-87.6981265,2
2021-2,casual,classic_bike,Friday,start_station,California Ave & Francis Pl (Temp),41.91849115,-87.6974228,2
2021-2,casual,classic_bike,Friday,start_station,California Ave & Milwaukee Ave,41.922695,-87.697153,1
2021-2,casual,classic_bike,Friday,start_station,California Ave & North Ave,41.91041733,-87.69703567,2
2021-2,casual,classic_bike,Friday,start_station,Calumet Ave & 18th St,41.857611,-87.619407,1
2021-2,casual,classic_bike,Friday,start_station,Calumet Ave & 51st St,41.80229465,-87.61805358,1
2021-2,casual,classic_bike,Friday,start_station,Campbell Ave & Fullerton Ave,41.92468633,-87.68930183,1
2021-2,casual,classic_bike,Friday,start_station,Campbell Ave & North Ave,41.910535,-87.689556,3
2021-2,casual,classic_bike,Friday,start_station,Canal St & Adams St,41.879255,-87.639904,1
