concat,member_casual,rideable_type,day_of_week,start/end,station_name,lat,lng,count
2021-4,casual,classic_bike,Friday,start_station,63rd St Beach,41.78091096,-87.57632375,2
2021-4,casual,classic_bike,Friday,start_station,900 W Harrison St,41.874754,-87.649807,27
2021-4,casual,classic_bike,Friday,start_station,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15
2021-4,casual,classic_bike,Friday,start_station,Aberdeen St & Monroe St,41.880419,-87.655519,22
2021-4,casual,classic_bike,Friday,start_station,Aberdeen St & Randolph St,41.884114,-87.654264,17
2021-4,casual,classic_bike,Friday,start_station,Ada St & Washington Blvd,41.88283,-87.661206,18
2021-4,casual,classic_bike,Friday,start_station,Adler Planetarium,41.86605967,-87.60739533,49
2021-4,casual,classic_bike,Friday,start_station,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,12
2021-4,casual,classic_bike,Friday,start_station,Albany Ave & Montrose Ave,41.961041,-87.705866,2
2021-4,casual,classic_bike,Friday,start_station,Artesian Ave & Hubbard St,41.88949182,-87.68821936,1
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & 13th St,41.86532167,-87.66659667,2
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & 50th St,41.803023,-87.664699,1
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & 66th St,41.7740565,-87.66371567,1
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & 74th St,41.75923602,-87.66347408,2
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Archer Ave,41.83903467,-87.66553017,1
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Augusta Blvd,41.899643,-87.6677,14
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,10
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Blackhawk St,41.907066,-87.667252,28
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Chicago Ave,41.895966,-87.667747,25
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Division St,41.90345,-87.667747,61
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Garfield Blvd,41.792822,-87.664429,1
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Grace St,41.950687,-87.6687,5
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Grand Ave,41.891072,-87.666611,13
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Lake St,41.88592,-87.66717,12
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Pershing Rd,41.82343167,-87.66561817,1
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Wellington Ave,41.936083,-87.669807,11
2021-4,casual,classic_bike,Friday,start_station,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,10
2021-4,casual,classic_bike,Friday,start_station,Austin Blvd & Lake St,41.887919,-87.774446,5
2021-4,casual,classic_bike,Friday,start_station,Avers Ave & Belmont Ave,41.939408,-87.723574,4
2021-4,casual,classic_bike,Friday,start_station,Baltimore Ave & 87th St,41.7373356,-87.5485146,4
2021-4,casual,classic_bike,Friday,start_station,Benson Ave & Church St,42.048064,-87.68322183,12
2021-4,casual,classic_bike,Friday,start_station,Bernard St & Elston Ave,41.94990917,-87.71395267,1
2021-4,casual,classic_bike,Friday,start_station,Big Marsh Park,41.68589567,-87.57380633,2
2021-4,casual,classic_bike,Friday,start_station,Bissell St & Armitage Ave,41.91844,-87.65222,50
2021-4,casual,classic_bike,Friday,start_station,Blackstone Ave & Hyde Park Blvd,41.8025375,-87.5903615,27
2021-4,casual,classic_bike,Friday,start_station,Blue Island Ave & 18th St,41.857556,-87.661535,13
2021-4,casual,classic_bike,Friday,start_station,Bosworth Ave & Howard St,42.019573,-87.66954417,4
2021-4,casual,classic_bike,Friday,start_station,Broadway & Argyle St,41.973815,-87.65966,17
2021-4,casual,classic_bike,Friday,start_station,Broadway & Barry Ave,41.93758232,-87.64409781,70
2021-4,casual,classic_bike,Friday,start_station,Broadway & Belmont Ave,41.940106,-87.645451,49
2021-4,casual,classic_bike,Friday,start_station,Broadway & Berwyn Ave,41.97840717,-87.6597815,17
2021-4,casual,classic_bike,Friday,start_station,Broadway & Cornelia Ave,41.945529,-87.646439,56
2021-4,casual,classic_bike,Friday,start_station,Broadway & Granville Ave,41.99477969,-87.66028453,21
2021-4,casual,classic_bike,Friday,start_station,Broadway & Ridge Ave,41.98404461,-87.66027383,4
2021-4,casual,classic_bike,Friday,start_station,Broadway & Sheridan Rd,41.952833,-87.649993,30
2021-4,casual,classic_bike,Friday,start_station,Broadway & Thorndale Ave,41.98974251,-87.66014062,15
2021-4,casual,classic_bike,Friday,start_station,Broadway & Waveland Ave,41.949074,-87.648636,39
2021-4,casual,classic_bike,Friday,start_station,Broadway & Wilson - Truman College Vaccination Site,41.965221,-87.658139,19
2021-4,casual,classic_bike,Friday,start_station,Buckingham Fountain,41.876511,-87.620548,57
2021-4,casual,classic_bike,Friday,start_station,Budlong Woods Library,41.98366471,-87.69642256,6
2021-4,casual,classic_bike,Friday,start_station,Burling St & Diversey Pkwy,41.9330775,-87.64773583,26
2021-4,casual,classic_bike,Friday,start_station,Burnham Greenway & 105th St,41.70457509,-87.52823174,2
2021-4,casual,classic_bike,Friday,start_station,Burnham Harbor,41.856268,-87.613348,19
2021-4,casual,classic_bike,Friday,start_station,California Ave & 21st St,41.853804,-87.695742,5
2021-4,casual,classic_bike,Friday,start_station,California Ave & Altgeld St,41.92669,-87.697668,10
2021-4,casual,classic_bike,Friday,start_station,California Ave & Byron St,41.95216219,-87.69805111,3
2021-4,casual,classic_bike,Friday,start_station,California Ave & Cortez St,41.900363,-87.696704,7
2021-4,casual,classic_bike,Friday,start_station,California Ave & Division St,41.903029,-87.697474,8
2021-4,casual,classic_bike,Friday,start_station,California Ave & Fletcher St,41.938452,-87.6981265,2
2021-4,casual,classic_bike,Friday,start_station,California Ave & Francis Pl (Temp),41.91849115,-87.6974228,14
2021-4,casual,classic_bike,Friday,start_station,California Ave & Lake St,41.88455417,-87.69632383,1
2021-4,casual,classic_bike,Friday,start_station,California Ave & Milwaukee Ave,41.922695,-87.697153,29
2021-4,casual,classic_bike,Friday,start_station,California Ave & Montrose Ave,41.961068,-87.695439,6
2021-4,casual,classic_bike,Friday,start_station,California Ave & North Ave,41.91041733,-87.69703567,6
2021-4,casual,classic_bike,Friday,start_station,Calumet Ave & 18th St,41.857611,-87.619407,19
2021-4,casual,classic_bike,Friday,start_station,Calumet Ave & 21st St,41.854184,-87.619154,7
2021-4,casual,classic_bike,Friday,start_station,Calumet Ave & 33rd St,41.8349,-87.61793,3
2021-4,casual,classic_bike,Friday,start_station,Calumet Ave & 35th St,41.831379,-87.618034,3
2021-4,casual,classic_bike,Friday,start_station,Calumet Ave & 51st St,41.80229465,-87.61805358,8
2021-4,casual,classic_bike,Friday,start_station,Calumet Ave & 71st St,41.76550683,-87.61690967,1
2021-4,casual,classic_bike,Friday,start_station,Calumet Park,41.71371,-87.530844,5
2021-4,casual,classic_bike,Friday,start_station,Campbell Ave & Fullerton Ave,41.92468633,-87.68930183,10
2021-4,casual,classic_bike,Friday,start_station,Campbell Ave & Montrose Ave,41.96152593,-87.69116504,2
2021-4,casual,classic_bike,Friday,start_station,Campbell Ave & North Ave,41.910535,-87.689556,22
2021-4,casual,classic_bike,Friday,start_station,Canal St & Adams St,41.879255,-87.639904,12
2021-4,casual,classic_bike,Friday,start_station,Canal St & Harrison St,41.874255,-87.639573,11
2021-4,casual,classic_bike,Friday,start_station,Canal St & Jackson Blvd,41.87715633,-87.638882,8
2021-4,casual,classic_bike,Friday,start_station,Canal St & Madison St,41.88145617,-87.6400875,20
2021-4,casual,classic_bike,Friday,start_station,Canal St & Monroe St,41.88169,-87.63953,13
2021-4,casual,classic_bike,Friday,start_station,Canal St & Taylor St,41.870257,-87.639474,12
2021-4,casual,classic_bike,Friday,start_station,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15
2021-4,casual,classic_bike,Friday,start_station,Carpenter St & Huron St,41.894556,-87.653449,26
2021-4,casual,classic_bike,Friday,start_station,Central Ave & Lake St,41.887664,-87.765469,1
2021-4,casual,classic_bike,Friday,start_station,Central Ave & Madison St,41.880121,-87.763238,4
2021-4,casual,classic_bike,Friday,start_station,Central Park Ave & Bloomingdale Ave,41.914166,-87.716755,7
2021-4,casual,classic_bike,Friday,start_station,Central Park Ave & Elbridge Ave,41.93533728,-87.71688929,3
2021-4,casual,classic_bike,Friday,start_station,Central Park Ave & North Ave,41.90965688,-87.71663195,10
2021-4,casual,classic_bike,Friday,start_station,Central Park Ave & Ogden Ave,41.854064,-87.715117,1
2021-4,casual,classic_bike,Friday,start_station,Central Park Blvd & 5th Ave,41.87566833,-87.71553617,2
2021-4,casual,classic_bike,Friday,start_station,Central St & Girard Ave,42.064313,-87.686152,2
2021-4,casual,classic_bike,Friday,start_station,Central St Metra,42.06382683,-87.69867267,2
2021-4,casual,classic_bike,Friday,start_station,Cherry Ave & Blackhawk St,41.907221,-87.655618,5
2021-4,casual,classic_bike,Friday,start_station,Chicago Ave & Sheridan Rd,42.050491,-87.677821,26
2021-4,casual,classic_bike,Friday,start_station,Chicago Ave & Washington St,42.032562,-87.679101,4
2021-4,casual,classic_bike,Friday,start_station,Chicago State University,41.718963,-87.608296,1
2021-4,casual,classic_bike,Friday,start_station,Christiana Ave & Lawrence Ave,41.96835449,-87.71183067,5
2021-4,casual,classic_bike,Friday,start_station,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,50
2021-4,casual,classic_bike,Friday,start_station,Claremont Ave & Hirsch St,41.907781,-87.685854,5
2021-4,casual,classic_bike,Friday,start_station,Clarendon Ave & Gordon Ter,41.957892,-87.649409,31
2021-4,casual,classic_bike,Friday,start_station,Clarendon Ave & Junior Ter,41.961004,-87.649603,27
2021-4,casual,classic_bike,Friday,start_station,Clarendon Ave & Leland Ave,41.967968,-87.650001,21
2021-4,casual,classic_bike,Friday,start_station,Clark St & 9th St (AMLI),41.870816,-87.631246,21
2021-4,casual,classic_bike,Friday,start_station,Clark St & Armitage Ave,41.918306,-87.636282,87
2021-4,casual,classic_bike,Friday,start_station,Clark St & Berwyn Ave,41.977997,-87.668047,24
2021-4,casual,classic_bike,Friday,start_station,Clark St & Bryn Mawr Ave,41.983593,-87.669154,16
2021-4,casual,classic_bike,Friday,start_station,Clark St & Chicago Ave,41.89675,-87.63089,49
2021-4,casual,classic_bike,Friday,start_station,Clark St & Columbia Ave,42.00445063,-87.6724024,4
2021-4,casual,classic_bike,Friday,start_station,Clark St & Drummond Pl,41.931248,-87.644336,68
2021-4,casual,classic_bike,Friday,start_station,Clark St & Elm St,41.90289233,-87.63182767,95
2021-4,casual,classic_bike,Friday,start_station,Clark St & Elmdale Ave,41.99079133,-87.6696075,3
2021-4,casual,classic_bike,Friday,start_station,Clark St & Grace St,41.95078,-87.659172,52
2021-4,casual,classic_bike,Friday,start_station,Clark St & Ida B Wells Dr,41.87593267,-87.63058454,7
2021-4,casual,classic_bike,Friday,start_station,Clark St & Jarvis Ave,42.0159535,-87.67500733,6
2021-4,casual,classic_bike,Friday,start_station,Clark St & Lake St,41.88602083,-87.63087606,48
2021-4,casual,classic_bike,Friday,start_station,Clark St & Leland Ave,41.967096,-87.667429,20
2021-4,casual,classic_bike,Friday,start_station,Clark St & Lincoln Ave,41.915689,-87.6346,81
2021-4,casual,classic_bike,Friday,start_station,Clark St & Lunt Ave,42.009074,-87.67419,4
2021-4,casual,classic_bike,Friday,start_station,Clark St & Montrose Ave,41.961588,-87.666036,10
2021-4,casual,classic_bike,Friday,start_station,Clark St & Newport St,41.94454,-87.654678,84
2021-4,casual,classic_bike,Friday,start_station,Clark St & North Ave,41.911974,-87.631942,40
2021-4,casual,classic_bike,Friday,start_station,Clark St & Randolph St,41.88457623,-87.63188991,37
2021-4,casual,classic_bike,Friday,start_station,Clark St & Schiller St,41.907993,-87.631501,29
2021-4,casual,classic_bike,Friday,start_station,Clark St & Schreiber Ave,41.99925182,-87.67137734,4
2021-4,casual,classic_bike,Friday,start_station,Clark St & Wellington Ave,41.93649682,-87.64753866,60
2021-4,casual,classic_bike,Friday,start_station,Clark St & Winnemac Ave,41.97334764,-87.66785547,29
2021-4,casual,classic_bike,Friday,start_station,Clark St & Wrightwood Ave,41.929546,-87.643118,62
2021-4,casual,classic_bike,Friday,start_station,Clifton Ave & Armitage Ave,41.918216,-87.656936,28
2021-4,casual,classic_bike,Friday,start_station,Clinton St & 18th St,41.857906,-87.64082183,3
2021-4,casual,classic_bike,Friday,start_station,Clinton St & Jackson Blvd,41.87831661,-87.64098108,15
2021-4,casual,classic_bike,Friday,start_station,Clinton St & Lake St,41.88528217,-87.64157767,34
